time,angle,velocity
2012652,0.00,0.00
2022652,0.01,1.12
2032652,0.02,1.12
2042652,0.04,2.24
2052652,0.08,3.37
2062652,0.10,2.24
2072652,0.13,3.37
2082652,0.18,4.49
2092652,0.21,3.37
2102652,0.26,4.49
2112652,0.31,5.61
2122652,0.36,4.49
2132652,0.42,5.61
2142652,0.47,5.61
2152652,0.54,6.73
2162652,0.59,5.61
2172652,0.66,6.73
2182652,0.74,7.85
2192652,0.81,6.73
2202652,0.89,7.85
2212652,0.96,7.85
2222652,1.04,7.85
2232652,1.13,8.98
2242652,1.21,7.85
2252652,1.30,8.98
2262652,1.39,8.98
2272652,1.48,8.98
2282652,1.58,10.10
2292652,1.67,8.98
2302652,1.77,10.10
2312652,1.86,8.98
2322652,1.96,10.10
2332652,2.06,10.10
2342652,2.15,8.98
2352652,2.27,11.22
2362652,2.36,8.98
2372652,2.47,11.22
2382652,2.57,10.10
2392652,2.67,10.10
2402652,2.77,10.10
2412652,2.87,10.10
2422652,2.98,11.22
2432655,3.10,11.22
2442652,3.20,10.10
2452652,3.30,10.10
2462652,3.41,11.22
2472652,3.52,11.22
2482652,3.62,10.10
2492652,3.73,10.10
2502652,3.84,11.22
2512652,3.94,10.10
2522652,4.05,11.22
2532652,4.15,10.10
2542652,4.26,11.22
2552652,4.38,11.22
2562652,4.49,11.22
2572652,4.61,12.34
2582652,4.72,11.22
2592652,4.85,12.34
2602652,4.97,12.34
2612652,5.09,12.34
2622652,5.22,12.34
2632652,5.34,12.34
2642652,5.45,11.22
2652652,5.58,12.34
2662652,5.70,12.34
2672652,5.81,11.22
2682652,5.92,11.22
2692652,6.04,11.22
2702652,6.16,12.34
2712652,6.26,10.10
2722652,6.37,11.22
2732652,6.50,12.34
2742652,6.61,11.22
2752652,6.72,11.22
2762652,6.83,11.22
2772652,6.96,12.34
2782652,7.07,11.22
2792652,7.19,12.34
2802652,7.32,12.34
2812652,7.43,11.22
2822652,7.55,12.34
2832652,7.67,12.34
2842652,7.79,11.22
2852652,7.91,12.34
2862652,8.03,12.34
2872652,8.16,12.34
2882652,8.28,12.34
2892652,8.39,11.22
2902652,8.52,12.34
2912652,8.64,12.34
2922652,8.75,11.22
2932652,8.86,11.22
2942652,8.99,12.34
2952652,9.11,12.34
2962652,9.22,11.22
2972652,9.35,12.34
2982652,9.46,11.22
2992652,9.58,12.34
3002652,9.69,11.22
3012652,9.81,11.22
3022652,9.92,11.22
3032652,10.03,11.22
3042652,10.14,11.22
3052652,10.26,11.22
3062652,10.37,11.22
3072652,10.48,11.22
3082652,10.59,11.22
3092652,10.72,12.34
3102652,10.84,12.34
3112652,10.96,12.34
3122652,11.09,12.34
3132652,11.21,12.34
3142652,11.33,12.34
3152652,11.47,13.46
3162652,11.58,11.22
3172652,11.71,13.46
3182652,11.84,12.34
3192652,11.95,11.22
3202652,12.07,12.34
3212655,12.20,12.34
3222652,12.31,11.22
3232652,12.42,11.22
3242652,12.53,11.22
3252652,12.66,12.34
3262652,12.77,11.22
3272652,12.88,11.22
3282652,12.99,11.22
3292652,13.12,12.34
3302655,13.24,12.34
3312652,13.35,11.22
3322652,13.48,12.34
3332652,13.60,12.34
3342652,13.71,11.22
3352652,13.83,12.34
3362652,13.96,12.34
3372652,14.08,12.34
3382652,14.20,12.34
3392652,14.33,12.34
3402652,14.45,12.34
3412652,14.57,12.34
3422652,14.70,12.34
3432652,14.81,11.22
3442652,14.93,12.34
3452652,15.06,12.34
3462652,15.17,11.22
3472652,15.29,12.34
3482652,15.42,12.34
3492652,15.53,11.22
3502652,15.64,11.22
3512652,15.76,12.34
3522652,15.89,12.34
3532652,16.00,11.22
3542652,16.11,11.22
3552652,16.24,12.34
3562652,16.35,11.22
3572652,16.46,11.22
3582652,16.57,11.22
3592652,16.68,11.22
3602652,16.80,11.22
3612652,16.91,11.22
3622652,17.03,12.34
3632652,17.16,12.34
3642652,17.28,12.34
3652652,17.40,12.34
3662652,17.53,12.34
3672652,17.66,13.46
3682652,17.78,12.34
3692652,17.91,12.34
3702652,18.03,12.34
3712652,18.15,12.34
3722652,18.28,12.34
