time,Channel 2,Channel 3,Channel 4,Channel 5,ball_position,Channel 7,Channel 8,Channel 9,Channel 10
147904.000000,-0.040000,-0.050000,0.000000,-0.140000,32.660000,32.930000,12.180000,25.660000,-33.430000
147911.000000,-0.040000,-0.050000,0.000000,-0.160000,32.730000,32.980000,9.750000,24.050000,-38.210000
147918.000000,-0.040000,-0.050000,0.000000,-0.130000,32.780000,33.030000,7.800000,22.850000,-31.220000
147925.000000,-0.040000,-0.050000,0.000000,-0.140000,32.770000,32.960000,-1.190000,16.860000,-32.720000
147932.000000,-0.040000,-0.040000,0.000000,0.000000,32.770000,32.960000,-0.950000,17.250000,-0.690000
147939.000000,-0.040000,-0.050000,0.000000,-0.090000,32.760000,32.950000,-0.760000,17.220000,-22.040000
147946.000000,-0.040000,-0.050000,0.000000,-0.030000,32.760000,32.950000,-0.610000,17.420000,-8.370000
147953.000000,-0.040000,-0.050000,0.000000,-0.070000,32.750000,32.950000,-0.490000,17.430000,-17.550000
147960.000000,-0.040000,-0.050000,0.000000,-0.050000,32.800000,33.040000,7.040000,22.510000,-11.730000
147967.000000,-0.040000,-0.050000,0.000000,-0.180000,32.840000,33.070000,5.630000,21.360000,-44.280000
147974.000000,-0.040000,-0.050000,0.000000,-0.090000,32.870000,33.100000,4.500000,20.810000,-20.740000
147981.000000,-0.040000,-0.050000,0.000000,-0.140000,32.900000,33.120000,3.600000,20.130000,-34.370000
147988.000000,-0.040000,-0.050000,0.000000,-0.100000,32.870000,33.040000,-4.550000,14.770000,-24.020000
147995.000000,-0.040000,-0.040000,0.000000,0.000000,32.840000,33.020000,-3.640000,15.520000,-1.080000
148002.000000,-0.040000,-0.050000,0.000000,-0.070000,32.820000,33.000000,-2.910000,15.870000,-17.540000
148009.000000,-0.040000,-0.050000,0.000000,-0.030000,32.810000,32.990000,-2.330000,16.310000,-7.910000
148016.000000,-0.040000,-0.050000,0.000000,-0.060000,32.790000,32.980000,-1.860000,16.560000,-15.130000
148023.000000,-0.040000,-0.050000,0.000000,-0.050000,32.830000,33.070000,5.940000,21.810000,-11.140000
148030.000000,-0.040000,-0.050000,0.000000,-0.180000,32.870000,33.090000,4.750000,20.800000,-42.920000
148037.000000,-0.040000,-0.050000,0.000000,-0.080000,32.890000,33.110000,3.230000,19.980000,-20.230000
148044.000000,-0.040000,-0.050000,0.000000,-0.130000,32.860000,33.020000,-4.840000,14.500000,-31.390000
148051.000000,-0.040000,-0.040000,0.000000,0.020000,32.830000,33.000000,-3.880000,15.400000,5.510000
148058.000000,-0.040000,-0.050000,0.000000,-0.080000,32.810000,32.980000,-3.100000,15.710000,-20.180000
148065.000000,-0.040000,-0.050000,0.000000,-0.020000,32.790000,32.970000,-2.480000,16.220000,-4.590000
148072.000000,-0.040000,-0.050000,0.000000,-0.070000,32.780000,32.960000,-1.980000,16.460000,-15.770000
148079.000000,-0.040000,-0.050000,0.000000,-0.040000,32.760000,32.950000,-1.590000,16.760000,-9.240000
148086.000000,-0.040000,-0.050000,0.000000,-0.060000,32.760000,32.940000,-1.270000,16.930000,-14.140000
148093.000000,-0.040000,-0.050000,0.000000,-0.050000,32.750000,32.940000,-1.020000,17.120000,-11.430000
148100.000000,-0.040000,-0.050000,0.000000,-0.060000,32.740000,32.930000,-0.810000,17.230000,-13.610000
148107.000000,-0.040000,-0.050000,0.000000,-0.050000,32.690000,32.830000,-8.080000,12.370000,-12.500000
